번호,공시대상회사,보고서명,제출인,접수일자,비고,popup_href,report_href
96,기  코크렙제14호위탁관리부동산투자회사,사업보고서 (2015.05),코크렙제14호위탁관리부동산투자회사,2015.08.31,,00659879,20150824000368
97,기  아시아퍼시픽13호선박투자회사,사업보고서 (2015.05),아시아퍼시픽13호선박투자회사,2015.08.31,,00533757,20150824000368
98,기  아시아퍼시픽10호선박투자회사,사업보고서 (2015.05),아시아퍼시픽10호선박투자회사,2015.08.31,,00533580,20150824000368
99,기  넥스쳐,[기재정정]사업보고서 (2014.12),넥스쳐,2015.08.27,연,00977696,20150824000368
100,코  코데즈컴바인  IR,[기재정정]사업보고서 (2014.12),코데즈컴바인,2015.08.24,연,00329093,20150824000368
101,유  코웨이  IR,[기재정정]사업보고서 (2014.12),코웨이,2015.08.21,연,00170558,20150616000333
102,유  코웨이  IR,[기재정정]사업보고서 (2013.12),코웨이,2015.08.21,연,00170558,20150616000333
103,유  코웨이  IR,[기재정정]사업보고서 (2012.12),코웨이,2015.08.21,연,00170558,20150616000333
104,기  우전,[기재정정]사업보고서 (2014.12),우전,2015.08.20,연,00291231,20150616000333
105,코  서한,[기재정정]사업보고서 (2014.12),서한,2015.08.18,,00131504,20150616000333
106,기  에코바이브,[기재정정]사업보고서 (2014.12),에코바이브,2015.08.17,연,00108065,20150616000333
107,코  퓨쳐켐,사업보고서 (2014.12),퓨쳐켐,2015.08.17,,01053540,20150616000333
108,코  더라미,[기재정정]사업보고서 (2014.12),더라미,2015.08.17,정,00205687,20150616000333
109,기  롯데알미늄,[기재정정]사업보고서 (2014.12),롯데알미늄,2015.08.17,연,00120535,20150616000333
110,기  롯데로지스틱스,[기재정정]사업보고서 (2014.12),롯데로지스틱스,2015.08.17,연,00120465,20150616000333
111,기  롯데물산,[기재정정]사업보고서 (2014.12),롯데물산,2015.08.17,,00120483,20150616000333
112,기  호텔롯데,[기재정정]사업보고서 (2014.12),호텔롯데,2015.08.17,연,00165653,20150616000333
113,기  한국애보트진단,[기재정정]사업보고서 (2014.12),한국애보트진단,2015.08.17,연,00317089,20150616000333
114,유  금강공업,[기재정정]사업보고서 (2014.12),금강공업,2015.08.17,연,00105299,20150616000333
115,기  시그넷시스템,[기재정정]사업보고서 (2014.12),시그넷시스템,2015.08.17,,00571836,20150616000333
116,유  대동전자,[기재정정]사업보고서 (2015.03),대동전자,2015.08.13,연,00157104,20150616000333
117,기  전남개발공사,[기재정정]사업보고서 (2014.12),전남개발공사,2015.08.13,,00856825,20150616000333
118,기  전북개발공사,[기재정정]사업보고서 (2014.12),전북개발공사,2015.08.13,,00858577,20150616000333
119,유  평화산업,[기재정정]사업보고서 (2014.12),평화산업,2015.08.11,연,00573579,20150616000333
120,코  제놀루션,사업보고서 (2014.12),제놀루션,2015.08.10,,01062177,20150616000333
121,넥  엔에스컴퍼니,사업보고서 (2014.12),엔에스컴퍼니,2015.08.05,,00929228,20150616000333
122,기  정다운,사업보고서 (2014.12),정다운,2015.08.05,정연,00659435,20150616000333
123,기  노무라인터내셔널펀딩피티이,[기재정정]사업보고서 (2015.03),노무라인터내셔널펀딩피티이,2015.08.04,,01082834,20150616000333
124,넥  플럼라인생명과학,사업보고서 (2014.12),플럼라인생명과학,2015.08.03,,01063237,20150616000333
125,코  인크레더블버즈,[첨부정정]사업보고서 (2013.12),인크레더블버즈,2015.07.31,연,00390408,20150616000333
126,코  인크레더블버즈,[첨부정정]사업보고서 (2012.12),인크레더블버즈,2015.07.31,연,00390408,20150616000333
127,코  한성크린텍,[기재정정]사업보고서 (2014.12),한성크린텍,2015.07.30,연,00389998,20150616000333
128,코  한성크린텍,[기재정정]사업보고서 (2013.12),한성크린텍,2015.07.30,연,00389998,20150616000333
129,기  트러스와이제7호위탁관리부동산투자회사,사업보고서 (2015.04),트러스와이제7호위탁관리부동산투자회사,2015.07.29,,00865382,20150616000333
130,기  노무라인터내셔널펀딩피티이,사업보고서 (2015.03),노무라인터내셔널펀딩피티이,2015.07.29,정,01082834,20150616000333
131,기  아루히,사업보고서 (2015.03),아루히,2015.07.29,연,00907660,20150616000333
132,유  코스모신소재,[기재정정]사업보고서 (2014.12),코스모신소재,2015.07.27,정,00129989,20150616000333
133,유  코스모신소재,[첨부정정]사업보고서 (2013.12),코스모신소재,2015.07.27,정,00129989,20150616000333
134,유  코스모신소재,[첨부정정]사업보고서 (2012.12),코스모신소재,2015.07.27,정,00129989,20150616000333
135,유  롯데하이마트,[기재정정]사업보고서 (2014.12),롯데하이마트,2015.07.24,,00158307,20150616000333
136,유  SBS,[기재정정]사업보고서 (2014.12),SBS,2015.07.17,연,00130772,20150616000333
137,기  하나증권,[기재정정]사업보고서 (2014.12),하나증권,2015.07.16,연,00113465,20150616000333
138,기  카이노스메드,사업보고서 (2014.12),카이노스메드,2015.07.14,,00843830,20150616000333
139,넥  광동헬스바이오,사업보고서 (2014.12),광동헬스바이오,2015.07.14,,00523176,20150616000333
140,넥  로지스몬,사업보고서 (2014.12),로지스몬,2015.07.14,,01060735,20150616000333
141,기  솔트웍스,사업보고서 (2014.12),솔트웍스,2015.07.13,,01022054,20150616000333
142,기  이푸른,[기재정정]사업보고서 (2014.12),이푸른,2015.07.09,,00893923,20150616000333
143,코  유투바이오,사업보고서 (2014.12),유투바이오,2015.07.06,,01026616,20150616000333
144,기  케이디파워,[기재정정]사업보고서 (2014.12),케이디파워,2015.07.06,연,00270089,20150616000333
145,유  금호전기,[기재정정]사업보고서 (2014.12),금호전기,2015.07.03,연,00106395,20150616000333
146,유  금호전기,[기재정정]사업보고서 (2013.12),금호전기,2015.07.03,연,00106395,20150616000333
147,기  와이즈파워,[기재정정]사업보고서 (2014.12),와이즈파워,2015.07.03,연,00248123,20150616000333
148,코  핸디소프트,사업보고서 (2014.12),핸디소프트,2015.07.03,,00793155,20150616000333
149,기  중국식품포장유한공사,사업보고서 (2015.03),중국식품포장유한공사,2015.07.03,연,00694003,20150616000333
150,넥  인바이츠바이오코아,사업보고서 (2014.12),인바이츠바이오코아,2015.07.01,,00537221,20150616000333
151,코  SFA반도체,[기재정정]사업보고서 (2014.12),SFA반도체,2015.06.30,연,00301246,20150616000333
152,유  영풍제지,[기재정정]사업보고서 (2014.12),영풍제지,2015.06.30,,00141404,20150616000333
153,기  노무라금융투자,[기재정정]사업보고서 (2015.03),노무라금융투자,2015.06.30,,00825968,20150616000333
154,기  덴소코리아,사업보고서 (2015.03),덴소코리아,2015.06.29,,00334244,20150616000333
155,기  노무라금융투자,사업보고서 (2015.03),노무라금융투자,2015.06.29,정,00825968,20150616000333
156,코  비츠로시스,사업보고서 (2015.03),비츠로시스,2015.06.29,연,00201432,20150616000333
157,코  3S,사업보고서 (2015.03),3S,2015.06.29,연,00378363,20150616000333
158,코  바른손,사업보고서 (2015.03),바른손,2015.06.29,연,00122205,20150616000333
159,유  동원금속,사업보고서 (2015.03),동원금속,2015.06.29,연,00118008,20150616000333
160,유  기신정기,사업보고서 (2015.03),기신정기,2015.06.29,연,00106614,20150616000333
161,기  이코리아자기관리부동산투자회사,사업보고서 (2015.03),이코리아자기관리부동산투자회사,2015.06.29,,00846396,20150616000333
162,코  메이슨캐피탈,사업보고서 (2015.03),메이슨캐피탈,2015.06.29,정연,00136101,20150616000333
163,기  스포츠서울,사업보고서 (2015.03),스포츠서울,2015.06.29,연,00298687,20150616000333
164,코  이씨에스,사업보고서 (2015.03),이씨에스,2015.06.29,,00400060,20150616000333
165,유  일양약품,사업보고서 (2015.03),일양약품,2015.06.29,연,00146454,20150616000333
166,유  한국주철관공업,사업보고서 (2015.03),한국주철관공업,2015.06.29,연,00159573,20150616000333
167,코  플루토스,사업보고서 (2015.03),플루토스,2015.06.29,,00110750,20150616000333
168,코  아이티센,사업보고서 (2015.03),아이티센,2015.06.29,연,00620868,20150616000333
169,유  신영증권,사업보고서 (2015.03),신영증권,2015.06.29,연,00136721,20150616000333
170,유  오리엔트바이오,사업보고서 (2015.03),오리엔트바이오,2015.06.29,정연,00141626,20150616000333
